GeneratingCenterId|Grib1CodeTable2Version|Grib1Parameter|Grib1TimeRange|Grib1ParameterThresholdIndicator|Grib1ParameterThresholdLower|Grib1ParametersThresholdUpper|Grib1ParameterThresholdScale|Grib1LevelParameter|ParameterId|Unit|Load
98|128|122|2|0|0|0|0|1|122|W/m2|t
98|128|123|1|0|0|0|0|1|123|W/m2|t
98|128|123|2|0|0|0|0|1|123|W/m2|t
98|128|129|0|0|0|0|0|100|6|m2/s2|t
98|128|129|1|0|0|0|0|1|6|m2/s2|t
98|128|129|1|0|0|0|0|100|6|m2/s2|t
98|128|129|10|0|0|0|0|100|6|m2/s2|t
98|128|130|0|0|0|0|0|100|11|K|t
98|128|130|1|0|0|0|0|100|11|K|t
98|128|131|0|0|0|0|0|100|254|m/s|f
98|128|131|1|0|0|0|0|100|254|m/s|f
98|128|132|0|0|0|0|0|100|254|m/s|f
98|128|132|1|0|0|0|0|100|254|m/s|f
98|128|144|0|0|0|0|0|1|144|m|t
98|128|144|1|0|0|0|0|1|144|m|t
98|128|144|10|0|0|0|0|1|144|m|t
98|128|151|0|0|0|0|0|1|151|Pa|t
98|128|151|1|0|0|0|0|1|151|Pa|t
98|128|151|10|0|0|0|0|1|151|Pa|t
98|128|157|0|0|0|0|0|1|52|ratio|t
98|128|157|1|0|0|0|0|1|52|ratio|t
98|128|164|0|0|0|0|0|1|71|ratio|t
98|128|164|1|0|0|0|0|1|71|ratio|t
98|128|164|10|0|0|0|0|1|71|ratio|t
98|128|165|0|0|0|0|0|1|33|m/s|t
98|128|165|1|0|0|0|0|1|33|m/s|t
98|128|165|10|0|0|0|0|1|33|m/s|t
98|128|166|0|0|0|0|0|1|34|m/s|t
98|128|166|1|0|0|0|0|1|34|m/s|t
98|128|166|10|0|0|0|0|1|34|m/s|t
98|128|167|0|0|0|0|0|1|11|K|t
98|128|167|1|0|0|0|0|1|11|K|t
98|128|167|10|0|0|0|0|1|11|K|t
98|128|168|0|0|0|0|0|1|17|K|t
98|128|168|1|0|0|0|0|1|17|K|t
98|128|168|10|0|0|0|0|1|17|K|t
98|128|172|0|0|0|0|0|1|81|ratio|t
98|128|172|1|0|0|0|0|1|81|ratio|t
98|128|189|0|0|0|0|0|1|189|min|t
98|128|189|1|0|0|0|0|1|189|min|t
98|128|201|0|0|0|0|0|1|15|K|t
98|128|201|1|0|0|0|0|1|15|K|t
98|128|202|0|0|0|0|0|1|16|K|t
98|128|202|1|0|0|0|0|1|16|K|t
98|128|228|0|0|0|0|0|1|228|kg/m2|t
98|128|228|1|0|0|0|0|1|228|kg/m2|t
98|128|228|10|0|0|0|0|1|228|kg/m2|t
